study_id,study,study_no,study_count,doi,pub_year,pub_title,pub_journal,university_list,university_count,investigation_cat,nation_list,nation_list_count,nation_var,nation_var_count,us_state_list,us_state_list_count,us_state_var,us_state_var_count,uk_country_list,uk_country_list_count,uk_country_var,uk_country_var_count,strategy_list,approach_cat (process),target_list,breadth_cat (outcome),design,principal_indicator_list,principal_indicator_list_count,principal_indicator_var,principal_indiactor_var_count,accessory_indicator_list,accessory_indicator_list_count,accessory_indicator_var,accessory_indicator_var_count,qualifying_indicator_list,qualifying_indicator_list_count,qualifying_indicator_var,qualifying_indicator_var_count,spillover_monitoring_list,spillover_monitoring_list_count,spillover_monitoring_var,spillover_monitoring_var_count,intention_behavior_monitoring
39,"(Godinho et al., 2015)",1,1,10.1080/08870446.2015.1054827,2015,Health messages to promote fruit and vegetable consumption at different stages: A match-mismatch design,Psychology & Health,University Institute of Lisbon*; University of Lisbon*: NOVA University Lisbon,3,Multi-site,Portugal; Portugal; Portugal,3,Portugal,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture,4,Campus Culture,1,Demographics; Demographics; Lifestyle,3,Demographics; Lifestyle ,2,NA,0,NA,0,Yes
40,"(Godinho et al., 2016)",1,1,10.1016/j.appet.2015.10.001,2016,Emphasizing the losses or gains: Comparing situational and individual moderators of framed messages to promote fruit and vegetable intake,Appetite,University Institute of Lisbon*; University of Lisbon*: NOVA University Lisbon,3,Multi-site,Portugal; Portugal; Portugal,3,Portugal,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture,1,Campus Culture,1,Demographics; Demographics; Program Reception; Program Reception; Program Reception,5,Demographics; Program Reception,2,NA,0,NA,0,Yes
41,"(Godinho et al., 2017)",1,1,10.1080/10810730.2017.1382614,2017,"When is congruency helpful? Interactive effects of frame, motivational orientation, and perceived message quality on fruit and vegetable consumption",Journal of Health Communication,Kent State University*,1,Single-site,USA,1,USA,1,Ohio,1,Ohio,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,NA,0,NA,0,Demographics; Demographics; Lifestyle; Program Reception; Program Reception; Program Reception,6,Demographics; Lifestyle; Program Reception,3,NA,0,NA,0,Yes
42,"(Griesoph et al., 2021)",1,1,10.3390/su13158669,2021,Guess what…?-How guessed norms nudge climate-friendly food choices in real-life settings ,Sustainability,Kiel University*,1,Single-site,Germany,1,Germany,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between,Observed Food Choice,1,Observed Food Choice,1,Campus Culture,1,Campus Culture,1,Demographics; Demographics; Lifestyle; Situational,4,Demographics; Lifestyle; Situational,3,NA,0,NA,0,NA
43,"(Guedes et al., 2023)",1,1,10.1017/S1368980023001763,2023,Promoting palnt-based eating in meat-centric meal contexts: A field study,Public Health Nutrition,University of Lisbon*,1,Single-site,Portugal,1,Portugal,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Label); Environmental Nudge (Promotion); Environmental Nudge (Promotion); Environmental Nudge (Procedural); Organizational Capacity Building (Staff Training),Multimodal,Agent; Environment,Multi-level,Within,Observed Food Choice; Self-Reported Food Choice,2,Observed Food Choice; Self-Reported Food Choice,2,Campus Culture; Staff Satisfaction,2,Campus Culture; Staff Satisfaction,2,Demographics; Demographics; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Situational,9,Demographics; Program Reception; Situational,3,Temporal,1,Temporal,1,NA
44,"(Guichard et al., 2021)",1,1,10.1016/j.appet.2021.105624,2021,Increasing vegetable purchase with a descriptive-norm message: A cluster randomized controlled intervention in two university canteens,Appetite,University of Poitiers,1,Single-site,France,1,France,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Promotion),Conscious Processes,Environment,Organizational,Between and Within,Observed Food Choice,1,Observed Food Choice,1,Campus Culture,1,Campus Culture,1,Demographics,1,Demographics,1,Temporal,1,Temporal,1,NA
45,"(Ha & Caine-Bish, 2009)",1,1,10.1016/j.jneb.2008.07.001,2009,Effect of nutrition intervention using a general nutrition course for promoting fruit and vegetable consumption among college students,Journal of Nutrition Education and Behavior,Kent State University*,1,Single-site,USA,1,USA,1,Ohio,1,Ohio,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Dietary Health,1,Dietary Health,1,Demographics; Demographics; Demographics; Demographics; Demographics,5,Demographics,1,NA,0,NA,0,NA
46,"(Haile et al., 2021)",1,1,10.3389/fpsyg.2021.668674,2021,Changing hearts and plates: The effect of animal-advocacy pamphlets on meat consumption,Frontiers in Psychology,Occidental College*,1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Observed Food Choice,1,Observed Food Choice,1,Campus Culture,1,Campus Culture,1,Demographics; Lifestyle; Lifestyle; Lifestyle; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception,14,Demographics; Lifestyle; Program Reception,3,Temporal,1,Temporal,1,NA
47,"(Hartmann et al., 2018)",1,1,10.3390/nu10081121,2018,Consumption of fruits and vegetables by low-income Brazilian undergraduate students: A cross-sectional study,Nutrients,University of Brasilia,1,Single-site,Brazil,1,Brazil,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Price),Choice Architecture,Environment,Organizational,Between and Within,Observed Food Choice; Self-Reported Food Choice,2,Observed Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Dietary Health,4,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics; Situational; Situationa,5,Demographics; Situational,2,Contextual,1,Contextual,1,NA
48,"(Hoefkens et al., 2011)",1,1,10.3945/ajcn.111.013417,2011,Posting point-of-purchase nutrition information in university canteens does not influence meal choice and nutrient intake,American Journal of Clinical Nutrition,Ghent University,1,Single-site,Belgium,1,Belgium ,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Label),Conscious Processes,Environment,Organizational,Within,Intended Food Choice; Self-Reported Food Choice,1,Intended Food Choice; Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health,16,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle,16,Demographics; Lifestyle,2,Behavioral; Behavioral,2,Behavioral,1,Yes
49,"(Holloway et al., 2012)",1,1,10.1017/S0029665112002212,2012,Dietary intervention to reduce meat intake by 50% in university students - A pilot study,Proceedings of the Nutrition Society,University of Nottingham,1,Single-site,UK,1,UK,1,NA,0,NA,0,England,1,England,1,"Availability; Knowledge Skills, and Beliefs",Multimodal,Agent,Individual,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Dietary Health; Dietary Health; Dietary Health,3,Dietary Health,1,Demographics; Demographics,2,Demographics,1,NA,0,NA,0,NA
50,"(Hormes et al., 2013)",1,1,10.3389/fpsyg.2013.00778,2013,"Reading a book can change your mind, but only some changes last for a year: Food attitude changes in readers of The Omnivore's Dilemma",Frontiers in Psychology,University of Pennsylvania,1,Single-site,USA,1,USA,1,Pennsylvania,1,Pennsylvania,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice,1,Intended Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture,6,Campus Culture,1,Demographics: Demographics; Demographics; Lifestyle; Program Reception; Program Reception,6,Demographics; Lifestyle; Program Reception,3,NA,0,NA,0,NA
51,"(Irwin et al., 2019)",1,1,10.1177/0260106019841247,2019,Challenges following a personalised diet adhering to dietary guidelines in a sample of Australian university students,Nutrition and Health,Griffith University*,1,Single-site,Australia,1,Australia,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health,34,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception,13,Demographics; Lifestyle; Program Reception,3,Behavioral; Behavioral,2,Behavioral,1,Yes
52,"(Jalil et al., 2020)",1,1,10.1016/j.foodpol.2020.101950,2020,Eating to save the planet: Evidence from a randomized controlled trial using individual-level food purchase data,Food Policy,Occidental College*,1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Observed Food Choice,1,Observed Food Choice,1,Campus Culture; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices,3,Campus Culture; Sustainability of Guest Food Choices,1,Demographics; Demographics; Lifestyle; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception,8,Demographics; Lifestyle; Program Reception,3,Temporal,1,Temporal,1,NA
53,"(Jay et al., 2019)",1,1,10.1007/s10584-019-02407-8,2019,Reduction of the carbon footprint of college freshman diets after a food-based environmental science course,Climatic Change,"University of California, Los Angeles",1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Dietary Health; Dietary Health; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices,7,Campus Culture; Dietary Health; Sustainability of Guest Food Choices,3,Demographics,1,Demographics,1,Behavioral,1,Behavioral,1,NA
54,"(Kanchanachitra et al., 2020)",1,1,10.1371/journal.pone.0238642,2020,Nudge interventions to reduce fish sauce consumption in Thailand,PLOS ONE,Mahidol University,1,Single-site,Thailand,1,Thailand,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Procedure); Environmental Nudge (Procedure); Environmental Nudge (Promotion); Environmental Nudge (Promotion),Multimodal,Agent; Environment,Multi-level,Between and Within,Observed Food Choice,1,Observed Food Choice,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
55,"(Kenzierski et al., 2015)",1,2,10.1016/j.appet.2015.07.007,2015,The effectiveness of an implementation intentions intervention for fruit and vegetable consumption as moderated by self-schema status,Appetite,Bryn Mawr College*; Villanova University*,2,Multi-site,USA; USA,2,USA,1,Pennsylvania; Pennsylvania,2,Pennsylvania,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,NA,0,NA,0,Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Lifestyle; Lifestyle,7,Demographics; Lifestyle,2,NA,0,NA,0,Yes
56,"(Kenzierski et al., 2015)",2,2,10.1016/j.appet.2015.07.007,2015,The effectiveness of an implementation intentions intervention for fruit and vegetable consumption as moderated by self-schema status,Appetite,Villanova University*,1,Single-site,USA,1,USA,1,Pennsylvania,1,Pennsylvania,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,NA,0,NA,0,Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Lifestyle; Lifestyle,7,Demographics; Lifestyle,2,NA,0,NA,0,Yes
57,"(Krzyzanowski et al., 2020)",1,1,10.2196%2F15156,2020,"Rams Have Heart, a mobile app tracking activity and fruit and vegetable consumption to support the cardiovascular health of college students: Development and usability study",JMIR mHealth and uHealth,Winston-Salem State University*,1,Single-site,USA,1,USA,1,North Carolina,1,North Carolina,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Dietary Health,5,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Situationa; Situational,15,Demographics; Program Reception; Situational,3,Behavioral; Temporal,2,Behavioral; Temporal,2,NA
58,"(Kurz, 2018)",1,1,10.1016/j.jeem.2018.06.005,2018,Nudging to reduce meat consumption: Immediate and persistent effects of an intervention at a university restaurant,Journal of Environmental Economics and Management,University of Gothenburg,1,Single-site,Sweden,1,Sweden,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Procedure); Environmental Nudge (Procedure),Choice Architecture,Environment,Organizational,Between and Within,Observed Food Choice,1,Observed Food Choice,1,Campus Culture; Institutional Sustainability; Institutional Sustainability; Institutional Sustainability; Institutional Sustainability; Institutional Sustainability; Institutional Sustainability; Sustainability of Guest Food Choices,8,Campus Culture; Institutional Sustainability; Guest Food Choices,3,Program Reception; Situational; Situational; Situational; Situational; Situationa,6,Program Reception; Situational,2,Temporal,1,Temporal,1,NA
59,"(Lachat et al., 2009)",1,1,10.1017/s000711450930389x,2009,Availability of free fruits and vegetables at canteen lunch improves lunch and daily nutritional profiles: A randomised controlled trial,British Journal of Nutrition,Ghent University,1,Single-site,Belgium,1,Belgium ,1,NA,0,NA,0,NA,0,NA,0,Availability; Environmental Nudge (Price),Choice Architecture,Agent,Individual,Between,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health,20,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics,3,Demographics,1,Behavioral; Behavioral; Contextual,3,Behavioral; Contextual,2,NA
60,"(Lambrecht et al., 2023)",1,1,10.1007/s10584-023-03543-y,2023,Limiting red meat availability in a university food service setting reduces food-related greenhouse gas emissions by one-third ,Climatic Change,University of Michigan,1,Single-site,USA,1,USA,1,Michigan,1,Michigan,1,NA,0,NA,0,Availability; Organizational Capacity Building (Staff Training),Multimodal,Agent; Environment,Multi-level,Between and Within,Observed Food Service,1,Observed Food Service,1,Campus Culture; Campus Culture; Campus Culture; Guest Dining Experience; Institutional Sustainability; Institutional Sustainability; Operating Costs,7,Campus Culture; Guest Dining Experience; Institutional Sustainability; Operating Costs,4,NA,0,NA,0,Contextual,1,Contextual,1,NA
61,"(Larner et al., 2021)",1,1,10.17170/kobra-202011192217,2021,Reaction to a low-carbon footprint food logo and other sustainable diet promotions in a UK university's student union 'living lab' ,"Future of Food: Journal on Food, Agriculture, and Society",University of Sheffield,1,Single-site,UK,1,UK,1,NA,0,NA,0,England,1,England,1,Environmental Nudge (Label),Conscious Processes,Environment,Organizational,Within,Intended Food Choice; Observed Food Choice; Observed Food Service,3,Intended Food Choice; Observed Food Choice; Observed Food Service,2,Operating Costs; Operating Costs; Operating Costs; Operating Costs; Operating Costs; Operating Costs; Sustainability of Guest Food Choies; Sustainability of Guest Food Choies; Sustainability of Guest Food Choies,9,Operating Costs; Sustainability of Guest Food Choices,2,Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Lifestyle; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Situational,16,Demographics; Lifestyle; Program Reception; Situational,4,NA,0,NA,0,Yes
62,"(Leih et al., 2022)",1,1,10.1177/23733799221122787,2022,Biology in public health: Course-based experiential learning strategies to promote active experimentation among undergraduate public health students,Pedagogy in Health Promotion,University of Arizona*,1,Single-site,USA,1,USA,1,Arizona,1,Arizona,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Within,Intended Food Choice,1,Intended Food Choice,1,Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health,6,Dietary Health,1,Demographics; Demographics; Lifestyle; Lifestyle; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception,12,Demographics; Lifestyle; Program Reception,3,NA,0,NA,0,NA
63,"(Lhakhang et al., 2014)",1,1,10.1016/j.appet.2014.07.014,2014,A brief intervention increases fruit and vegetable intake. A comparison of two intervention sequences,Appetite,University of Delhi*,1,Single-site,India,1,India,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture,3,Campus Culture,1,Demographics; Demographics; Demographics; Demographics,4,Demographics,1,Temporal,1,Temporal,1,Yes
64,"(Liang et al., 2022)",1,1,10.2196/37563,2022,Psychosocial mediators of web-baed interventions for promoting a healthy lifestyle among Chinese college students: Secondary analysis of a randomized controlled trial,Journal of Medical Internet Research,Wuhan University*,1,Single-site,China,1,China,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture,9,Campus Culture,1,Demographics; Demographics; Demographics; Demographics; Demographics; Lifestyle,6,Demographics; Lifestyle,2,Behavioral; Temporal,2,Behavioral; Temporal,2,Yes
65,"(Lohmann et al., 2022)",1,1,10.1016/j.jeem.2022.102693,2022,Do carbon footprint labels promote climatarian diets? Evidence from a large-scale field experiment,Journal of Environmental Economics and Management,University of Cambridge,1,Single-site,UK,1,UK,1,NA,0,NA,0,England,1,England,1,Environmental Nudge (label),Conscious Processes,Environment,Organizational,Between and Within,Observed Food Choice,1,Observed Food Choice,1,Campus Culture; Campus Culture; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices,5,Campus Culture; Sustainability of Guest Food Choices,2,Lifestyle; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Situational; Situational; Situational; Situational,12,Lifestyle; Program Reception; Situational,3,Contextual,1,Contextual,1,NA
66,"(Malan et al., 2020)",1,1,10.3390/nu12092890,2020,"Impact of scalable, multi-campus ""Foodprint"" seminar on college students; dietary intake and dietary carbon footprint",Nutrients,"Stanford University; University of California, Davis; University of California, Los Angeles",3,Multi-site,USA; USA; USA,3,USA,1,California; California; California,3,California,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Sustainability of Guest Food Choices,18,Campus Culture; Sustainability of Guest Food Choices,2,Demographics; Demographics; Demographics; Program Reception; Program Reception; Situational; Situational,7,Demographics; Program Reception; Situational,3,Behavioral,1,Behavioral,1,Yes
67,"(Malan et al., 2022)",1,1,10.1086/720450,2022,Increasing the slection of low-carbon-footprint entrées through the addition of new menu items and a social marketing campaign in university dining,Journal of the Association for Consumer Research,"University of California, Los Angeles",1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,Availability; Environmental Nudge (Promotion),Multimodal,Agent; Environment,Multi-level,Between and Within,Observed Food Choice,1,Observed Food Choice,1,Campus Culture; Operating Costs; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices,6,Campus Culture; Operating Costs; Sustainability of Guest Food Choices,3,NA,0,NA,0,NA,0,Contextual,1,NA
68,"(Manero et al., 2017)",1,1,10.1016/j.appet.2017.04.035,2017,"Influence of seasoning on vegetable selection, liking, and intent to purchase",Appetite,University of Illinois Urbana-Champaign*,1,Single-site,USA,1,USA,1,Illinois,1,Illinois,1,NA,0,NA,0,Availability,Choice Architecture,Environment,Organizational,Within,Intended Food Choice; Observed Food Choice; Self-Reported Food Choice,3,Intended Food Choice; Observed Food Choice; Self-Reported Food Choice,3,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Guest Dining Experience,5,Campus Culture; Guest Dining Experience,2,Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Lifestyle,6,Demographics; Lifestyle,2,Behavioral; Behavioral,2,Behavioral,1,Yes
69,"(Marcone et al., 2023)",1,1,10.1186/s40795-023-00764-3,2023,Effects of an educational planetary plate graphic on meat consumption in a Stanford University dining hall: A randomized controlled trial,BMC Nutrition,Stanford University,1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,Environmental Nudge (Promotion),Conscious Processes,Environment,Organizational,Within,Observed Food Choice,1,Observed Food Choice,1,Campus Culture; Campus Culture,2,Campus Culture,1,Program Reception; Situational; Situational,3,Program Reception; Situational,2,NA,o,NA,0,NA
70,"(Matias et al., 2021)",1,1,10.1016/j.appet.2014.07.014,2021,Evaluation of a college-level nutrition course with a teaching kitchen lab,Journal of Nutrition Education and Behavior,"University of California, Berkeley*",1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; ,12,Campus Culture,1,Demographics; Demographics; Demographics; Demographics; Demographics; Lifestyle; Lifestyle,7,Demographics; Lifestyle ,2,Behavioral; Behavioral; Behavioral; Behavioral,4,Behavioral,1,NA
71,"(McClain et al., 2013)",1,1,10.1080%2F07448481.2012.755189,2013,Incoporating prototyping and iteration into intervention development: A case study of a dining hall-based intervention,Journal of American College Health,Stanford University*,1,Single-site,USA,1,USA,1,California,1,California,1,NA,0,NA,0,Environmental Nudge (Label); Environmental Nudge (Promotion),Multimodal,Environment,Organizational,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture,3,Campus Culture,1,Demographics; Demographics; Demographics; Lifestyle,4,Demographics; Lifestyle,2,Behavioral,1,Behavioral,1,NA
72,(Mcdonough et al. 2014),1,1,10.18848/2325-1212/CGP/v09i02/55300,2014,Modifying students' intentions to eat sustainably,International Journal of Sustainability Education,McGill University,1,Single-site,Canada,1,Canada,1,NA,0,NA,0,NA,0,NA,0,"Environmental Nudge (Promotion); Knowledge Skills, and Beliefs; Knowledge Skills and Beliefs",Conscious Processes,Agent,Individual,Within,Intended Food Choice; Observed Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Observed Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture,11,Campus Culture,1,Demographics; Demographics; Demographics; Demographics; Program Reception,5,Demographics; Program Reception,2,NA,0,NA,0,Yes
73,"(Meng et al., 2017)",1,1,10.2196/jmir.6537,2017,Online self-tracking groups to increase fruit and vegetable intake: A small-scale study on mechanisms of group effect on behavior change,Journal of Medical Internet Research,Michigan State University,1,Single-site,USA,1,USA,1,Michigan,1,Michigan,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture,4,Campus Culture,1,Demographics; Demographics; Demographics; Lifestyle; Program Reception; Program Reception; Program Reception,7,Demographics; Lifestyle; Program Reception,3,NA,0,NA,0,NA
74,"(Migliavada et al., 2022)",1,1,10.1016/j.appet.2022.105995,2022,Is purchasing of vegetable dishes affected by organic or local labels? Empirical evidence from a university canteen,Appetite,University of Gastronomic Sciences of Polienzo,1,Single-site,Italy,1,Italy,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Label); Environmental Nudge (Label); Environmental Nudge (Label),Choice Architecture,Environment,Organizational,Within,Observed Food Choice,1,Observed Food Choice,1,NA,0,NA,0,Demographics; Demographics; Demographics; Demographics; Situational; Situational,6,Demographics; Situational,2,NA,0,NA,0,NA
75,"(Mistura et al., 2019)",1,1,10.3390/nu11081786,2019,Examining the efficacy of a 'feasible' nudge intervention to increase the purchase of vegetables by first year university students (17-19 years of age) in British Columbia: A pilot study,Nutrients,University of Victoria,1,Single-site,Canada,1,Canada,1,NA,0,NA,0,NA,0,NA,0,Availability; Environmental Nudge (Promotion),Multimodal,Agent; Environment,Organizational,Within,Observed Food Choice,1,Observed Food Choice,1,NA,0,NA,0,Demographics,1,Demographics,1,NA,0,NA,0,NA
76,"(Moore et al., 2023)",1,1,10.1177/11786388231159192,2023,A teaching kitchen program improves employee micronutrient and healthy dietary consumption,Nutrition and Metabolic Insights,Emory University,1,Single-site,USA,1,USA,1,Georgia,1,Goergia,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; ,39,Dietary Health,1,Demographics; Demographics; Demographics; Demographics; Demographics; Demographics,6,Demographics,1,Behavioral; Behavioral; Behavioral; Behavioral,4,Behavioral,1,NA
77,"(Nix et al., 2017)",1,1,10.1016/j.appet.2017.05.045,2017,Social approval bias in self-reported fruit and vegetable intake after presentation of a normative message in college students,Appetite,Utah State University,1,Single-site,USA,1,USA,1,Utah,1,Utah,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture,3,Campus Culture,1,Demographics; Demographics; Demographics; Demographics,4,Demographics,1,NA,0,NA,0,NA
